 gid |   full_id    |      name       |         name_en          |    name_th     | ele |          st_astext           
   3 | n301567146   | แม่สามแลบ        | Mae Sam Laep             | แม่สามแลบ       |     | POINT(97.7400518 17.9785632)
 103 | n4992391052  |                 | Nong Pha Chaem           |                |     | POINT(98.2464707 19.5133177)
  14 | n807565196   | ปางอุ๋ง           | Pang Ung                 | ปางอุ๋ง          |     | POINT(97.92024 19.5116)
  62 | n2665319315  | สอบปอง          | Soppong                  | สอบปอง         |     | POINT(98.2536836 19.5159814)
  94 | n4587807529  |                 |                          |                |     | POINT(98.0526679 17.734283)
 164 | n8907648859  |                 |                          |                |     | POINT(98.5842602 19.3646582)
 163 | n8907648858  |                 |                          |                |     | POINT(98.5679 19.3720668)
  81 | n3206185689  |                 |                          |                |     | POINT(98.178938 19.2031716)
 162 | n8889641801  |                 |                          |                |     | POINT(98.2036894 19.6684865)
  92 | n4587239131  |                 |                          |                |     | POINT(97.8531123 17.9837779)
 161 | n8888395676  |                 |                          |                |     | POINT(97.8312781 19.0247774)
  93 | n4587807013  |                 |                          |                |     | POINT(98.0476822 17.7719737)
(181 rows)

